word,freq
很漂亮,15
发小,15
唱歌,15
密宗,15
香蕉,15
洞窟,15
造像,15
形制,15
梅州,15
云南,15
验证,15
贵州,15
悬空寺,15
玫瑰,15
伸直,15
武士,15
马卡龙,14
脑洞,14
写过,14
梦境,14
心中,14
琢磨,14
不一会儿,14
找个,14
炒肉,14
塑料袋,14
土豆,14
窗帘,14
一幕,14
角落,14
没错,14
一排,14
智慧,14
下面,14
显示,14
轨迹,14
偏差,14
红楼梦,14
适用,14
角色,14
专家,14
中学生,14
中肯,14
移动,14
饭店,14
顺手,14
担当,14
将要,14
地址,14
时而,14
相似,14
久而久之,14
神佛,14
妥协,14
自动,14
挺不错,14
成熟,14
不足,14
玻璃,14
往前走,14
概率,14
中科院,14
转化,14
住宿,14
尽量,14
邮件,14
自主,14
国际,14
饮水机,14
马路,14
这条,14
青春,14
不准,14
觉得有点,14
晴川,14
频率,14
良好,14
排名,14
打卡,14
范畴,14
胜利,14
判定,14
题目,14
冲突,14
回寝,14
飞翔,14
落下,14
聊着,14
后来发现,14
唤醒,14
几种,14
回想,14
说实话,14
油腻,14
明亮,14
脑子里,14
毕业生,14
这样事情,14
礼拜,14
一旁,14
解放,14
看到一些,14
诗歌,14
九点,14
打招呼,14
画面,14
出口,14
传承,14
参数,14
有时,14
瓜子,14
歌单,14
北方,14
睡不着,14
四十,14
带到,14
愤怒,14
信号,14
讲述,14
点评,14
断断续续,14
作息,14
回顾,14
反倒,14
后期,14
舆论,14
眼神,14
肚子,14
带走,14
大会,14
过度,14
医疗,14
